City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,negapatam,10.7667,79.8333,28.22,80,100,4.15,IN,1689460269
1,xilin hot,43.9667,116.0333,16.22,57,0,1.6,CN,1689459839
2,port alfred,-33.5906,26.891,16.58,76,89,3.2,ZA,1689460045
3,lagos,6.5833,3.75,25.13,89,88,2.04,NG,1689460270
4,aasiaat,68.7098,-52.8699,3.16,96,100,4.55,GL,1689460082
5,tyuratam,45.6507,63.3156,23.71,29,0,1.49,KZ,1689460270
6,grytviken,-54.2811,-36.5092,-5.21,80,7,3.04,GS,1689460046
7,knyaze-volkonskoye,48.4642,135.4567,16.19,80,100,2.72,RU,1689460271
8,badger,64.8,-147.5333,19.73,63,100,3.09,US,1689460063
9,carutapera,-1.195,-46.02,25.06,88,91,3.26,BR,1689459915
10,sorong,-0.8833,131.25,23.98,91,100,2.08,ID,1689460078
11,longyearbyen,78.2186,15.6401,10.91,66,0,5.66,SJ,1689460067
12,port-aux-francais,-49.35,70.2167,1.62,58,98,7.83,TF,1689460045
13,puerto ayora,-0.7393,-90.3518,28.98,89,41,3.58,EC,1689460040
14,tiksi,71.6872,128.8694,2.06,97,100,5.77,RU,1689460052
15,conde,-7.2597,-34.9075,25.7,83,20,4.12,BR,1689460140
16,heihe,50.2441,127.4902,18.32,70,100,2.79,CN,1689460273
17,papatowai,-46.5619,169.4708,8.3,80,70,8.09,NZ,1689460067
18,waitangi,-43.9535,-176.5597,10.46,83,98,2.24,NZ,1689460040
19,adamstown,-25.066,-130.1015,22.13,82,86,9.26,PN,1689460047
20,midvagur,62.0511,-7.1939,12.46,76,75,6.69,FO,1689459923
21,port mathurin,-19.6833,63.4167,23.23,81,17,7.51,MU,1689460056
22,kanggye,40.9695,126.5852,21.33,94,96,1.51,KP,1689460274
23,bredasdorp,-34.5322,20.0403,13.1,59,80,3.49,ZA,1689460063
24,ribeira grande,38.5167,-28.7,19.87,94,100,0.89,PT,1689460067
25,tolanaro,-25.0319,46.9987,20.04,73,20,4.12,MG,1689460093
26,kavieng,-2.5744,150.7967,27.84,78,94,4.6,PG,1689459900
27,menongue,-14.6585,17.691,13.25,44,36,2.33,AO,1689459909
28,tobelo,1.7284,128.0095,25.31,86,100,2.86,ID,1689460275
29,banbridge,54.35,-6.2833,15.42,97,96,6.85,GB,1689460275
30,atafu village,-8.5421,-172.5159,28.66,70,44,5.26,TK,1689460058
31,dhari,21.3333,71.0167,24.85,91,88,4.52,IN,1689460275
32,udachny,66.4167,112.4,8.87,50,26,2.18,RU,1689460073
33,albany,42.6001,-73.9662,30.91,69,100,0.89,US,1689460049
34,chabahar,25.2919,60.643,28.86,77,68,2.57,IR,1689460276
35,sandnessjoen,66.0217,12.6316,12.29,66,30,6.91,NO,1689459889
36,ust'-kulom,61.6864,53.6902,10.54,76,64,1.41,RU,1689459929
37,edinburgh of the seven seas,-37.0676,-12.3116,13.35,81,55,15.74,SH,1689460049
38,st. john's,47.5649,-52.7093,23.66,56,75,4.63,CA,1689459978
39,puerto natales,-51.7236,-72.4875,-1.19,75,71,2.13,CL,1689460051
40,bilibino,68.0546,166.4372,25.84,38,7,2.6,RU,1689460058
41,isafjordur,66.0755,-23.124,6.24,94,100,3.65,IS,1689460063
42,iqaluit,63.7506,-68.5145,12.85,76,40,2.57,CA,1689460060
